,property_type,area_m2,price_usd,lat,lon,state
557,house,90,37934.26,19.750508,-101.181947,Chiapas
558,apartment,104,92201.34,19.058884,-98.260885,Puebla
559,house,229,157690.64,19.477827,-99.216217,Distrito Federal
560,apartment,76,43729.78,18.963312,-99.214456,Morelos
561,apartment,60,84845.35,19.393656,-99.132304,Distrito Federal
562,apartment,100,43202.91,19.607218,-99.194926,Estado de México
563,house,85,57968.87,19.1617587,-99.6178249,Estado de México
564,house,275,316118.9,16.77954175,-99.79801011,Guerrero
565,house,195,91632.19,21.0411724,-89.5550539,Yucatán
566,house,205,88513.29,18.00557,-92.959735,Tabasco
567,apartment,80,65120.49,19.441809,-99.156423,Distrito Federal
568,house,150,92223.21,20.124367,-98.735725,Hidalgo
569,house,120,44783.51,20.96736563,-97.39168793,Veracruz de Ignacio de la Llave
570,apartment,84,71653.61,19.391819,-99.188639,Distrito Federal
571,apartment,60,105372.96,19.375412,-99.144234,Distrito Federal
572,house,180,63223.78,23.634501,-102.552788,Morelos
573,apartment,60,36260.68,19.496076,-99.204251,Distrito Federal
574,house,95,44794.13,24.80535497,-107.4623677,Sinaloa
575,apartment,110,121863.83,19.309196,-99.219505,Distrito Federal
576,house,120,105372.96,18.842861,-99.225906,Morelos
577,house,140,51632.75,25.51485,-103.389699,Veracruz de Ignacio de la Llave
578,house,175,121178.91,20.532264,-103.484418,Jalisco
579,house,100,47417.83,18.9289862,-99.1802147,Morelos
580,house,81,39524.23,21.02840384,-89.6530058,Yucatán
581,house,360,245050.24,22.11830417,-101.0321939,San Luis Potosí
582,house,115,110667.85,19.233201,-99.558519,Estado de México
